,Job_Title,Company,Location,Salary
0,Entry level Software Engineer,HCL America,"Sunnyvale, CA",60000.0
1,Entry Level Software Engineer,HCL Americas,"Sunnyvale, CA",60000.0
2,Jr. Software Engineer,Keyo,"Palo Alto, CA",95000.0
3,Software Engineer (Frontend),LeanTaaS Inc.,"Santa Clara, CA 95050",135000.0
4,Senior Software Engineer,Yadle,"San Ramon, CA 94583",125000.0
5,"Software Engineer, Test, Python",Matthew Noah,"Palo Alto, CA",155000.0
6,Software Engineer (Java Backend),LeanTaaS Inc.,"Santa Clara, CA 95050",140000.0
7,Software Developer,"zGlue, Inc.","Mountain View, CA 94043",110000.0
8,Software Engineer,Tinfoil Security,"Mountain View, CA 94043",92500.0
9,Software Engineer - Frontend,"zGlue, Inc.","Mountain View, CA 94043",110000.0
10,Frontend Software Developer,"zGlue, Inc.","Mountain View, CA 94043",110000.0
11,Perception Software Engineer,Polynesian Exploration Inc,"San Jose, CA",100000.0
12,Senior Siebel Software Engineer,Rrrootshell Technologies,"Santa Clara, CA",147500.0
13,Fullstack Software Developer,"zGlue, Inc.","Mountain View, CA 94043",110000.0
14,Staff Software Engineer,"Talent Asset/AI, LLC","San Francisco, CA",150000.0
15,Software Developer Engineer in Test,Blue Owl,"San Francisco, CA",125000.0
16,UI Software Engineer,AFAR Media,"San Francisco, CA 94111 (Financial District area)",130000.0
17,Machine Learning Engineer,Sina Weibo,"Palo Alto, CA",350000.0
18,Software Engineer,TekIntegra,"Fremont, CA",72800.0
19,Junior Java Developer,Gamigo Inc. USA,"Redwood City, CA 94065",72500.0
20,Computer Programmer,Altigen,"San Jose, CA",56114.5
21,Software Engineer in Controls with Autonomous Vehicles,Purple Squirrel HR,"Palo Alto, CA",175000.0
22,Solutions Engineer,BitGo,"San Jose, CA",160000.0
23,E-Discovery Manager,County of Santa Clara,"San Jose, CA 95134 (North San Jose area)",121180.5
24,Sales Development Representative,Sandbox Partners,"Santa Clara, CA",77500.0
25,RTK Algorithms Engineer,Polynesian Exploration Inc,"San Jose, CA",100000.0
26,Machine Learning Engineer,Pit.AI Technologies Inc.,"San Jose, CA",150000.0
27,Backend Engineer,Tocca,"San Francisco, CA",120000.0
28,"Platform Engineer, Python",Matthew Noah,"Palo Alto, CA",160000.0
29,Algorithm Engineer of Motion/Bearing-Control,Midea emerging technology corp.,"San Jose, CA 95134 (North San Jose area)",150000.0
30,Senior Backend Software Engineer,CSPA Hiring Partners,"San Francisco, CA 94103 (South Of Market area)",160000.0
31,Application Engineer,Techmetics Robotics LLC,"San Jose, CA 95131 (North Valley area)",70000.0
32,Software Engineer,Navisens,"San Francisco, CA",110000.0
33,Software Engineer - React,Bendaygo,"San Francisco, CA",170000.0
34,Full-Stack Engineer,FlowCommand Inc,"San Francisco, CA 94103 (South Of Market area)",135000.0
35,Frontend Integration Engineer,Reflektion Inc.,"San Mateo, CA 94404",72500.0
36,Senior Software Engineer,"Wheelwell, Inc","San Jose, CA",150000.0
37,PL/SQL Software Developer,Akytech Consulting LLC,"San Francisco, CA",77500.0
38,Integration Engineer,Synapse Financial Technologies Inc,"San Francisco, CA",80000.0
