,Job_Title,Company,Location,Salary,Cost of Living
0,Entry-Level Full Stack Developer,IBM,"San Jose, CA",111000.0,18.54
1,Jr. Software Engineer,Keyo,"Palo Alto, CA",95000.0,18.54
2,Software Engineer,Microsoft,"Sunnyvale, CA",130000.0,18.54
3,Entry level Software Engineer,HCL America,"Sunnyvale, CA",60000.0,18.54
4,Software Developer - Fall 2019,PagerDuty,"San Francisco, CA",127500.0,18.54
5,Software Developer,"iMINDS Technology Systems, Inc","Sunnyvale, CA",90000.0,18.54
6,Software Engineer,Adobe,"San Jose, CA",141500.0,18.54
7,Quality Engineering Software Developer,Adobe,"San Jose, CA",88500.0,18.54
9,Software Engineer Developer,Tano Digital,"San Jose, CA 95112 (Downtown area)",92000.0,18.54
10,"Software Engineer, Full Stack",Netflix,"Los Gatos, CA 95032",138500.0,18.54
11,Software Developer Summer Intern,Proofpoint,"Sunnyvale, CA 94089",79500.0,18.54
12,Software Engineer,Tesla,"Fremont, CA",114000.0,18.54
13,Software Engineer,MyPhoneData,"San Jose, CA",96000.0,18.54
14,"Software Engineering Front End, Back End, and Full Stack Int...",Tesla,"Palo Alto, CA",119000.0,18.54
15,Software Engineer 1 - Entry Level,MyVest,"San Francisco, CA 94105 (Financial District area)",119000.0,18.54
16,Software Developer Intern,DropThought,"Santa Clara, CA 95050",115000.0,18.54
17,Software Developer,Stanford University,"Stanford, CA",79000.0,18.54
18,"Software Engineer, Backend",Tesla,"Fremont, CA",120000.0,18.54
19,Software Developer I,Perspecta,"Campbell, CA 95011",106500.0,18.54
20,Software Developer - Photoshop,Adobe,"San Jose, CA",95500.0,18.54
21,"Intern, Software Engineering - Mobile",Roku,"Los Gatos, CA",116500.0,18.54
22,Software Developer in Test,Adobe,"San Jose, CA",113500.0,18.54
23,Intern: Software Engineering,Equinix,"Sunnyvale, CA",122000.0,18.54
25,Software Engineer,Tinfoil Security,"Mountain View, CA 94043",110000.0,18.54
27,Internship - Software Engineer- Full-Stack Engineer,Samsung Research America Internship,"Mountain View, CA",137500.0,18.54
28,"Software Engineer (Front-End and Back-End), Chronicle",Chronicle,"Mountain View, CA",126000.0,18.54
29,"Software Engineer/Object Oriented, Java - Internship - Summe...",Viome,"Santa Clara, CA",36000.0,18.54
30,Software Engineer (or Internship exceeding 6 months),Lattice Engines,"San Mateo, CA 94404",129000.0,18.54
31,Software Engineer,Walmart Stores,"Sunnyvale, CA 94087",116000.0,18.54
32,autonomous vehicle software developer,Job Future,"Palo Alto, CA",170000.0,18.54
33,Software QE Developer,Adobe,"San Jose, CA",112500.0,18.54
34,Intern: Software Engineering - NLU/NLP,Equinix,"Sunnyvale, CA",113500.0,18.54
35,"Software Engineer, Junior-Midlevel Backend",BitGo,"Palo Alto, CA 94306 (Barron Park area)",143500.0,18.54
36,"Full Stack Developer, Toolbox Software",Tesla,"Palo Alto, CA",131000.0,18.54
37,Backend Engineer - Device Software,Fitbit,"San Francisco, CA 94105 (Financial District area)",135500.0,18.54
38,Jr. Backend Software Engineer,Citrine,"Redwood City, CA",147000.0,18.54
39,Software Engineer,SurveyMonkey,"San Mateo, CA 94403 (Sugerloaf area)",128000.0,18.54
40,Software QA Intern,Synaptics,"San Jose, CA 95131 (North Valley area)",94500.0,18.54
41,"Intern, Software Engineering",Coupa,"San Mateo, CA",122500.0,18.54
42,"Software Engineer, Recent Graduate",Lumi Labs,"Palo Alto, CA",115500.0,18.54
43,Software Engineer,Bay Area Environmental Research Institute,"Mountain View, CA 94035",140000.0,18.54
44,Software Engineer,Twitch,"San Francisco, CA",120000.0,18.54
45,Software Engineer,Walmart eCommerce,"Sunnyvale, CA 94087",116000.0,18.54
47,"Software Engineer I - Redwood City, CA",Guardant Health,"Redwood City, CA 94063",138000.0,18.54
48,"Software Engineer, Front End",Google,"Mountain View, CA",125500.0,18.54
50,2019 Internship - Software Engineer - Vudu,Walmart eCommerce,"Sunnyvale, CA 94087",117500.0,18.54
51,Summer Internship - Software Engineer,f5,"San Jose, CA",49000.0,18.54
52,Intern M Software Engineering,Juniper Networks,"Sunnyvale, CA 94089",126000.0,18.54
53,Full-Time Jr. Software Engineer at Venture Backed Startup in...,Robin Healthcare,"Berkeley, CA 94704",70000.0,18.54
54,"Software Engineer, Full stack","OmniTier, Inc.","Milpitas, CA",115000.0,18.54
55,2019 Summer Internship - Software Engineer,Flex,"Milpitas, CA",40000.0,18.54
56,Application Specialist,"Anatomage, Inc.","San Jose, CA 95110 (Downtown area)",70000.0,18.54
57,Software Developer,Valley Tech Force,"Sunnyvale, CA 94089",95000.0,18.54
58,Software Engineer,Dropbox,"Mountain View, CA",131500.0,18.54
59,"2019 University Software Developer, IT",Atlassian,"Mountain View, CA",116000.0,18.54
60,Software Engineer,Google,"Sunnyvale, CA",125500.0,18.54
61,Computer Programmer,Altigen,"San Jose, CA",56114.5,18.54
62,Software QA Engineer (Java | New College Graduate),FICO,"San Jose, CA 95110 (Downtown area)",110500.0,18.54
63,2019 Summer Software Engineering Internship,Walmart Stores,"San Bruno, CA 94066",51000.0,18.54
64,Software QA Internship/Co-Op (Fall 2019),Tesla,"Palo Alto, CA",113000.0,18.54
65,ASP.NET / C# / Agile Software Developer - Full-time - San Fr...,TechSaga's direct client in San Francisco,"San Francisco, CA",130000.0,18.54
66,Software Engineer I,Verizon,"San Jose, CA 95131 (North Valley area)",118500.0,18.54
67,"Intern: Full Stack, DCIM",Equinix,"Sunnyvale, CA",120500.0,18.54
68,"Software Engineer, Factory Software",Tesla,"Fremont, CA",118000.0,18.54
69,"Software Engineer, Full Stack",Tesla,"Fremont, CA",136000.0,18.54
70,Full-time: CTO Commerce and Identity - Software Engineer I (...,Electronic Arts,"Redwood City, CA 94065",115000.0,18.54
71,2019 Uber Career Prep Fellowship - Software Engineering,Uber,"San Francisco, CA 94103 (South Of Market area)",114500.0,18.54
72,Perception Software Engineer,Red Leader Tech,"Palo Alto, CA",100000.0,18.54
73,Software QA Engineer,PAX Labs,"San Francisco, CA",117000.0,18.54
74,Software Engineer,TransSight,"San Ramon, CA",119000.0,18.54
76,Software Engineer,Barracuda Networks Inc.,"San Jose, CA",139500.0,18.54
77,Intern - Software Engineer (San Mateo) - 2019 Fall,Snowflake Computing,"San Mateo, CA 94401 (North Central area)",169000.0,18.54
78,Software Engineer,Broadcom,"San Jose, CA 95134 (North San Jose area)",107500.0,18.54
79,Return to Work Program - Software Engineer - Front-End,Intuit,"Mountain View, CA 94039",138500.0,18.54
80,"Software Engineer - User InterfaceSanta Clara, CA / Full-tim...",Dremio,"Santa Clara, CA 95054",149000.0,18.54
81,"2019 Intern, Software Engineering Firmware: Summer or Fall",Ampere Computing,"Santa Clara, CA",141500.0,18.54
82,Software Test Engineer,Fusion Tech Solutions,"Milpitas, CA 95035",107500.0,18.54
83,Application Specialist,"Anatomage, Inc.","San Jose, CA 95110 (Downtown area)",65000.0,18.54
84,"Software Engineer (Fullstack), Caviar",Square,"San Francisco, CA 94103 (South Of Market area)",130000.0,18.54
85,Software Engineer,KiwiCo,"Mountain View, CA 94041",120500.0,18.54
86,"Full Stack Developer, Prototypes and Tools",Google,"Mountain View, CA",118000.0,18.54
87,Software Test Engineer,Silicon Valley Bank,"Santa Clara, CA 95054",98000.0,18.54
88,Graphics Software Engineer,Tech Soft 3D,"Berkeley, CA 94710",114000.0,18.54
89,Software developer,Hatchways,"San Francisco, CA",67500.0,18.54
90,Front End Software Engineer,Facebook,"Menlo Park, CA",106000.0,18.54
91,Enterprise Software Developer - Intern,Genomic Health,"Redwood City, CA 94063",83500.0,18.54
92,Full Stack - Software Prototype,Samsung Electronics,"Mountain View, CA",152500.0,18.54
93,Software Engineer - Linux,"RackWare, Inc.","Fremont, CA 94538 (Irvington area)",105000.0,18.54
96,Legal Administrative Assistant I/II (Legal Secretary),City of San Jose,"San Jose, CA 95110 (Downtown area)",59394.5,18.54
97,Community Service Officer - Jailer,City of Hayward,"Hayward, CA 94541",68473.5,18.54
102,Software Engineering Internship- Customer Tech,Walmart eCommerce,"Sunnyvale, CA 94087",147500.0,18.54
103,2019 Summer Software Engineering Internship,Walmart eCommerce,"San Bruno, CA 94066",51000.0,18.54
105,"Software Engineer, Cloud SQL",Google,"Sunnyvale, CA",140500.0,18.54
106,Software Engineer,Palo Alto Networks,"Santa Clara, CA",136500.0,18.54
107,Software Engineer,Intel,"Santa Clara, CA 95052",131000.0,18.54
108,Software Engineer I/II,Fujitsu,"Sunnyvale, CA 94085",104000.0,18.54
109,Software Engineer,Real-Time Innovations,"Sunnyvale, CA 94089",126500.0,18.54
110,"Software Engineer, Java/Kotlin Backend, Transportation Platf...",Argo AI,"Palo Alto, CA",174000.0,18.54
111,SQL Developer,SSIT,"San Jose, CA",64000.0,18.54
112,Software Engineer - Tesla Energy,Tesla,"Palo Alto, CA",135000.0,18.54
113,Software Engineer,Carnegie Technologies,"San Francisco, CA",145000.0,18.54
114,Software CO-OP Engineer - Summer 2019,NOKIA,"Mountain View, CA",127500.0,18.54
115,Location – Software Engineer,Qualcomm,"Santa Clara, CA 95050",110000.0,18.54
116,UI Intern - Emerging Technologies,Zscaler,"San Jose, CA 95134 (North San Jose area)",129500.0,18.54
117,Software Developer,CPower Energy Management,"Campbell, CA",101000.0,18.54
118,Software Engineer Intern in Test,GroundTruth,"Mountain View, CA",91000.0,18.54
119,Software Engineer (Full Stack),"PVM, Inc","Mountain View, CA 94041",131000.0,18.54
120,Embedded Software Engineer,SK2X,"Sunnyvale, CA",122500.0,18.54
121,"Software Engineer (Outward, Inc.)","Williams-Sonoma, Inc.","San Jose, CA 95112 (Downtown area)",122500.0,18.54
122,Software Engineer and Co-Founder,"Daycare Owl, Inc","San Francisco Bay Area, CA",110000.0,18.54
123,Software Developer,CloudLanes,"Santa Clara, CA",114000.0,18.54
124,Software Engineer (entry to mid level),Xage Security,"Palo Alto, CA 94306 (Barron Park area)",131000.0,18.54
125,Software Engineer,Infosmart Systems Inc,"San Jose, CA",100000.0,18.54
126,Software Engineer – 1,Versa Networks,"Santa Clara, CA 95054",148500.0,18.54
127,Staff Software Engineer,Walmart eCommerce,"Sunnyvale, CA 94087",120500.0,18.54
128,Associate Software Engineer,Veeva Systems,"Pleasanton, CA 94588",118500.0,18.54
129,Software Engineer - Developer Center,DocuSign,"San Francisco, CA 94105 (Financial District area)",128500.0,18.54
130,Software Engineer 3 - Ecomm,Walmart,"Sunnyvale, CA 94086",119000.0,18.54
131,Software Developer- Trust & Safety Engineering,Adobe,"San Jose, CA",127000.0,18.54
132,Software Engineer,EZOPS Inc,"San Francisco Bay Area, CA",80000.0,18.54
133,New Graduate Software Engineer,Lucid Motors,"Newark, CA",109000.0,18.54
134,"Software Engineer, Back End",Rally Health,"San Francisco, CA",149500.0,18.54
135,Research Software engineer,IBM,"San Jose, CA",113500.0,18.54
136,"Software Engineer, Backend - Card Linked Offers",Groupon,"San Francisco, CA 94115 (Western Addition area)",137500.0,18.54
137,"Intern, Automation Software Quality Engineer",Guardant Health,"Redwood City, CA 94063",105500.0,18.54
138,Software Developer - Back End - San Francisco,Bind Benefits,"San Francisco, CA 94103 (South Of Market area)",134000.0,18.54
139,UI Engineer Prototyper,Samsung Electronics,"Mountain View, CA",136000.0,18.54
140,"Software Engineer, Mobile Application",Tesla,"Palo Alto, CA",124000.0,18.54
141,Return to Work Program - Software Engineer – Full Stack,Intuit,"Mountain View, CA 94039",131000.0,18.54
142,Software Developer (IDEO Client),IDEO,"San Francisco, CA 94105 (Financial District area)",113000.0,18.54
143,Software Developer,Innominds Software,"San Jose, CA 95131 (North Valley area)",100000.0,18.54
144,Java Developer,Globant,"Mountain View, CA 94042",126000.0,18.54
145,Software engineer,ServiceNow,"Santa Clara, CA 95054",130000.0,18.54
146,Software Test Engineer (Apps/SDKs),MATRIXX Software,"Saratoga, CA",93000.0,18.54
147,Software Engineer,Cisco Careers,"San Jose, CA",127000.0,18.54
148,Full Stack Software Engineer - Web,App Annie,"San Francisco, CA 94108 (Financial District area)",132000.0,18.54
149,"Software Development Engineer ( node.js, Python )","FireEye, Inc.","Milpitas, CA 95035",146500.0,18.54
150,Software Engineer (Consumer),Opendoor,"San Francisco, CA",140000.0,18.54
151,Software Engineers,WANdisco,"San Ramon, CA 94583",130000.0,18.54
152,Full Stack Software Engineer- Data Product Development,Visa,"Palo Alto, CA",148500.0,18.54
153,Robotics Software Engineer,Creator,"San Francisco, CA 94107 (South Of Market area)",130000.0,18.54
154,Software Engineer - Full Stack,Splunk,"San Jose, CA 95131 (North Valley area)",119000.0,18.54
155,Java Backend Application Engineer,YDTS GROUP,"Mountain View, CA",129000.0,18.54
156,Software Engineer,Paypal,"San Jose, CA 95131 (North Valley area)",133500.0,18.54
157,Software Developer 2 (JoinOracle-DBaaS),Oracle,"Santa Clara, CA 95051",103000.0,18.54
159,Robotics Software Engineer - Controls & Pathplanning,ViaBot Inc.,"Palo Alto, CA",60000.0,18.54
162,Software Engineer,TekIntegra,"Fremont, CA",72800.0,18.54
163,Program Assistant,City of Mountain View,"Mountain View, CA 94041",75274.5,18.54
164,Software architect,Lumina Decision Systems,"Campbell, CA 95008",105000.0,18.54
165,Research Associate,"Juvena Therapeutics, Inc.","Palo Alto, CA 94304",70000.0,18.54
167,Field Alliance in San Francisco,HireResourcesLLC,"San Francisco, CA",125000.0,18.54
168,Sr. Software Engineer,Safeway Inc./Albertson's Inc,"Livermore, CA",130000.0,18.54
169,Software Developer Engineer in Test,Blue Owl,"San Francisco, CA",125000.0,18.54
171,Software Implementation Consultant,CIO Options,"San Francisco, CA 94102 (Downtown area)",132500.0,18.54
172,Software Engineer (Robotics & Autonomous Vehicle),Volvo Cars Technology,"Mountain View, CA",160000.0,18.54
173,CTO,Sapien,"San Francisco Bay Area, CA",160000.0,18.54
178,Backend Engineer,Taraxa,"Mountain View, CA",105000.0,18.54
179,Game Engine Software Engineer (Unreal Developer),The Computer Science Proficiency Assessment,"Burlingame, CA",145000.0,18.54
181,"Technical Sourcer, Software Engineering",Facebook,"San Francisco, CA",84000.0,18.54
182,"Software Engineer, Stadia",Google,"Mountain View, CA",126000.0,18.54
183,Software QA Engineer (CPE),Palo Alto Networks,"Santa Clara, CA",116500.0,18.54
184,Software Engineer,Noblis,"Mountain View, CA",110500.0,18.54
185,Software Engineer,3T Biosciences,"Menlo Park, CA",100000.0,18.54
186,Software Engineer,A³ by Airbus,"Sunnyvale, CA",106000.0,18.54
187,Senior Software Engineer,Walmart Stores,"Sunnyvale, CA 94087",115000.0,18.54
188,GCP Software Engineer,JUUL Labs,"San Francisco, CA 94107 (South Of Market area)",145500.0,18.54
