,Job Title,Company,Location,Salary
6,Entry Level Software Developer,AMGTech Solutions,"Chicago, IL",65000.0
9,Entry Level Software Developer,BACloudSystems,"Chicago, IL",75000.0
10,Software Engineer-Junior,"Agility Network Services, Inc.","Chicago, IL",68000.0
13,C# Software Engineer,Jettison,"Chicago, IL",125000.0
27,Software Engineer,"Groove Health, Inc.","Chicago, IL",75000.0
37,Junior / Entry Level Mobile Apps Developer - IOS / Android E...,Adidev Technologies,"Chicago, IL",70000.0
45,Software Engineer,"Agility Network Services, Inc.","Chicago, IL",82000.0
49,Software C++ Engineer,"Agility Network Services, Inc.","Chicago, IL",82000.0
77,Software Developer,"LandAirSea Systems, Inc.","Chicago, IL 60661 (Near West Side area)",75000.0
116,QA Engineer,NowPow,"Chicago, IL 60615 (Hyde Park area)",57500.0
121,Senior Software Engineer,PatientIQ,"Chicago, IL",112500.0
124,Mainframe Systems Administrator Engineer,"Optimum Software Solutions, Inc.","Chicago, IL",105000.0
133,Jr Java Developer ( Kotlin),Bank of America,"Chicago, IL",85000.0
154,Junior Business Analyst,Trusymmetry Inc,"Chicago, IL",55000.0
187,Software Developer,Euroview,"Elmhurst, IL 60126",50000.0
229,UI Engineer,The Plum Tree Group,"Chicago, IL 60654 (Loop area)",105000.0
242,Network Engineer,Metra Railroad,"Chicago, IL",97215.5
270,C++ Programmer,Jettison,"Chicago, IL",125000.0
291,Principal Software Engineer,Orthogonal,"Chicago, IL",137500.0
345,Data Scientist,Chicago Transit Authority,"Chicago, IL",100000.0
346,Web Application Analyst & Developer,Jettison,"Schaumburg, IL",87500.0
352,Cloud Based Software Development Manager,Healthware Systems,"Elgin, IL 60123",137500.0
378,Senior Software Engineer,Professional Benefit Administrators,"Chicago, IL",87500.0
487,Full stack Web Developer,FlavaWorks,"Chicago, IL",85000.0
514,Senior Front-End Developer,CRATE & BARREL,"Northbrook, IL 60062",92500.0
530,Data Analyst,onShore,"Chicago, IL 60642 (Portage Park area)",75000.0
534,Desktop Support Engineer,Morae Global,"Chicago, IL",52500.0
547,Associate Network Engineer Ninja,Framework Communications,"Chicago, IL 60612 (Near West Side area)",65000.0
620,Systems/Network Engineer,FitSeed Consulting Inc.,"Itasca, IL 60143",70000.0
636,Java Full Stack Web Developer,Edge Systems LLC,"Hines, IL",85000.0
640,Junior Engineer,Midwest Processing,"Elk Grove Village, IL",57500.0
642,Java Developer,Insasys,"Chicago, IL",95000.0
649,Programmer/Analyst,High School District 214,"Arlington Heights, IL 60005",86379.5
664,Senior Software Developer,"Agility Network Services, Inc.","Chicago, IL",90000.0
745,Suicide Prevention Program Manager,US Department of the Army,"Darien, IL",79234.5
803,Account Executive,Copado,"Chicago, IL 60654 (Loop area)",85000.0
812,General Engineer/Physical Scientist,US Department of Energy,"Lemont, IL 60439",88127.0
873,Mass Appraisal Specialist - Chief County Assessor's Office,Lake County IL,"Waukegan, IL",55022.0
905,Java Developer (Exp 5-8 years),Wipro,"Chicago, IL",70000.0
1049,SAP IBP,"JAMY INTERACTIVE, INC","Chicago, IL",115000.0
1071,Business/QA Analyst,Lendr,"Chicago, IL 60654 (Loop area)",80000.0
1114,Web Developer,Erikson Institute,"Chicago, IL 60654 (Loop area)",60000.0
1124,TECHNOLOGY MANAGER - ELECTION EQUIPMENT,Cook County Clerk's Office,"Chicago, IL 60602 (Loop area)",90120.0
1150,Analyst - Office 365/Active Directory Support,Bantic,"Chicago, IL",79500.0
1154,Solutions Engineer - Central,"Configuration Management, Inc.","Chicago, IL",125000.0
1177,Criminal Research Analyst II - SOIC,Cook County Sheriff’s Office,"Chicago, IL",52653.0
