,Job Title,Company,Location,Salary
8,Entry Level Software Engineer,SR Education Group,"Kirkland, WA",90000.0
12,Entry Level Software Engineer,HCL Americas,"Redmond, WA 98052",60000.0
15,Entry Level Software Engineer,HCL America,"Redmond, WA 98052",60000.0
24,Software Developer - All Levels,Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",134700.0
116,Software Engineer,Getty Images,"Seattle, WA 98103 (Green Lake - Wallingford area)",138780.0
133,Jr Network Engineer (Entry level),Gravity Technologies inc,"Redmond, WA",42500.0
138,Front End Software Engineer,Sasquatch Talent,"Bellevue, WA",130000.0
141,Jr. Data Engineer,D4DT,"Bellevue, WA",87500.0
205,Software Developer,The Northlake Partners,"Redmond, WA",82500.0
227,PL/SQL Software Developer,Akytech Consulting LLC,"Seattle, WA",77500.0
235,Full Stack Developer,Pike13,"Seattle, WA",127500.0
359,Junior Programmer – Microsoft Dynamics Nav Support,Steiner,"Seattle, WA",50000.0
412,IAM consultants (Entry Level) (Computer Science degree),Gravity Technologies inc,"Redmond, WA",42500.0
487,Sr. Network Software Engineer,"JAMY INTERACTIVE, INC","Seattle, WA",155000.0
495,Software Developer Java,JAMY INTERACTIVE INC,"Seattle, WA",95000.0
507,Software Development Manager,Bill4Time.com,"Bellevue, WA 98007 (Lake Hills area)",135000.0
613,UI Developer/Angular.JS Developer,SaaSpack,"Seattle, WA",90000.0
616,Java Developer - AWS,"JAMY INTERACTIVE, INC","Seattle, WA",110000.0
767,System Analyst,City of Bellevue,"Bellevue, WA 98004 (Downtown area)",86268.5
983,UX Designer,"Coinme, Inc.","Seattle, WA",70000.0
1033,"Technologist – Safeco, Direct Service & Claims",Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",152750.0
1042,CYS Program Associate Technology Lab NF-03,US Department of the Army,"Joint Base Lewis McChord, WA",42859.0
1051,L&I Applications Developer,State of Washington Dept. of Labor & Industries,"Tumwater, WA",70092.0
1064,Java Developer - AWS,"JAMY INTERACTIVE, INC","Seattle, WA",107500.0
1153,Senior Software Developer,Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",104850.0
1190,Software Development Manager,Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",152750.0
1231,ESTIMATOR/SUPPLY CHAIN COORDINATOR,Stillwater Dwellings,"Seattle, WA 98121 (Belltown area)",67500.0
1233,Application Support Specialist,Angel of the Winds Casino Resort,"Arlington, WA 98223",70000.0
1291,Industrial Instrument Technician (Bright water Treatment Pla...,King County,"Woodinville, WA",89159.0
1452,Software Developer,BiSoft,"Redmond, WA",115000.0
1548,Software Developer/Sr. Software Developer,Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)",108950.0
1557,Java Web Application Developer,SocialReport.com,"Bellevue, WA 98007 (Lake Hills area)",100000.0
