,Job_Title,Company,Location,Salary,Cost of Living
0,Administrative Associate,Stanford University,San Jose,62500.0,18.54
2,Java Software Architect,Nile Global Inc.,San Jose,175000.0,18.54
4,Backend Software QA Test Engineer,Cellpoint Systems,San Jose,114500.0,18.54
6,Software Apps Engineer I,Oath Inc,San Jose,130000.0,18.54
7,Entry-Level Full Stack Developer,IBM,San Jose,111000.0,18.54
8,Software Engineer,Microsoft,San Jose,130000.0,18.54
9,Software Developer - Fall 2019,PagerDuty,San Jose,127500.0,18.54
10,Jr. Software Engineer,Keyo,San Jose,95000.0,18.54
11,Entry level Software Engineer,HCL America,San Jose,60000.0,18.54
12,Software Developer,"iMINDS Technology Systems, Inc",San Jose,90000.0,18.54
13,Software Engineer Developer,Tano Digital,San Jose,92000.0,18.54
14,Quality Engineering Software Developer,Adobe,San Jose,88500.0,18.54
15,"Software Engineer, Full Stack",Netflix,San Jose,138500.0,18.54
16,Software Developer Summer Intern,Proofpoint,San Jose,79500.0,18.54
18,Software Engineer 1 - Entry Level,MyVest,San Jose,119000.0,18.54
19,"Intern, Software Engineering - Mobile",Roku,San Jose,116500.0,18.54
20,Software Engineer,Adobe,San Jose,141500.0,18.54
21,Software Engineer,Tesla,San Jose,114000.0,18.54
22,"Software Engineering Front End, Back End, and Full Stack Int...",Tesla,San Jose,119000.0,18.54
23,Software Developer in Test,Adobe,San Jose,113500.0,18.54
24,Software Developer Intern,DropThought,San Jose,115000.0,18.54
25,Intern: Software Engineering,Equinix,San Jose,117500.0,18.54
26,Software Engineer,MyPhoneData,San Jose,96000.0,18.54
27,Software Developer - Photoshop,Adobe,San Jose,95500.0,18.54
29,Software QA Tester,"Stottler Henke Associates, Inc.",San Jose,81500.0,18.54
32,Administrative Assistant,EcoMicron Inc.,San Jose,45000.0,18.54
36,Light Rail Signal Maintainer,Santa Clara Valley Transportation Authority,San Jose,100923.0,18.54
40,Community & Support Administrative Associate,BetterHelp,San Jose,62500.0,18.54
41,Java + Webservices,Wissda,San Jose,145000.0,18.54
42,Software Engineer,Blue Sages,San Jose,102000.0,18.54
43,Customer Service Representative - Utility Billing,"City of Sunnyvale, CA",San Jose,68987.0,18.54
44,Software Engineer (All Levels),SoFi,San Jose,143500.0,18.54
45,"Software Engineer/Object Oriented, Java - Internship - Summe...",Viome,San Jose,36000.0,18.54
46,"Full Stack Developer, Toolbox Software",Tesla,San Jose,131000.0,18.54
47,Software QE Developer,Adobe,San Jose,112500.0,18.54
48,Software Engineer (or Internship exceeding 6 months),Lattice Engines,San Jose,129000.0,18.54
50,Software Engineer,Walmart Stores,San Jose,116000.0,18.54
51,Internship - Software Engineer- Full-Stack Engineer,Samsung Research America Internship,San Jose,137500.0,18.54
52,"Software Engineer (Front-End and Back-End), Chronicle",Chronicle,San Jose,126000.0,18.54
53,autonomous vehicle software developer,Job Future,San Jose,170000.0,18.54
54,"Software Engineer, Junior-Midlevel Backend",BitGo,San Jose,143500.0,18.54
55,Intern: Software Engineering - NLU/NLP,Equinix,San Jose,113500.0,18.54
56,Backend Engineer - Device Software,Fitbit,San Jose,135500.0,18.54
57,Intern M Software Engineering,Juniper Networks,San Jose,126000.0,18.54
58,Jr. Backend Software Engineer,Citrine,San Jose,147000.0,18.54
59,"Intern, Software Engineering",Coupa,San Jose,122500.0,18.54
60,2019 Summer Internship - Software Engineer,Flex,San Jose,40000.0,18.54
