,Job_Title,Company,Location,Salary,Cost of Living
1,Administrative Associate,Stanford University,San Jose,"$50,000 - $75,000 a year",18.54
2,Cashier (FT),"Edges Electrical Group, LLC",San Jose,$13.30 - $18.00 an hour (Indeed est.),18.54
3,Java Software Architect,Nile Global Inc.,San Jose,"$175,000 a year",18.54
4,Autonomous Vehicle Operator,RocketPower,San Jose,$24 an hour,18.54
5,Backend Software QA Test Engineer,Cellpoint Systems,San Jose,"$95,000 - $134,000 a year",18.54
6,Receptionist/Administrative Assistant,"Patriot Environmental Laboratory Services, Inc.",San Jose,$15.50 - $16.50 an hour,18.54
10,Software Apps Engineer I,Oath Inc,San Jose,"$104,000 - $156,000 a year (Indeed est.)",18.54
11,Entry-Level Full Stack Developer,IBM,San Jose,"$91,000 - $131,000 a year (Indeed est.)",18.54
12,Software Engineer,Microsoft,San Jose,"$104,000 - $156,000 a year (Indeed est.)",18.54
14,Software Developer - Fall 2019,PagerDuty,San Jose,"$102,000 - $153,000 a year (Indeed est.)",18.54
15,Jr. Software Engineer,Keyo,San Jose,"$80,000 - $110,000 a year",18.54
16,Entry level Software Engineer,HCL America,San Jose,"$60,000 a year",18.54
20,Software Developer,"iMINDS Technology Systems, Inc",San Jose,"$80,000 - $100,000 a year",18.54
22,Software Engineer Developer,Tano Digital,San Jose,"$74,000 - $110,000 a year (Indeed est.)",18.54
24,Quality Engineering Software Developer,Adobe,San Jose,"$71,000 - $106,000 a year (Indeed est.)",18.54
26,"Software Engineer, Full Stack",Netflix,San Jose,"$114,000 - $163,000 a year (Indeed est.)",18.54
27,Software Developer Summer Intern,Proofpoint,San Jose,"$64,000 - $95,000 a year (Indeed est.)",18.54
28,Software Engineer,Pursuit Software Inc.,San Jose,$65 - $85 an hour,18.54
29,Software Engineer 1 - Entry Level,MyVest,San Jose,"$95,000 - $143,000 a year (Indeed est.)",18.54
31,"Intern, Software Engineering - Mobile",Roku,San Jose,"$93,000 - $140,000 a year (Indeed est.)",18.54
32,Software Engineer,Adobe,San Jose,"$113,000 - $170,000 a year (Indeed est.)",18.54
33,Software Engineer,Tesla,San Jose,"$91,000 - $137,000 a year (Indeed est.)",18.54
35,"Software Engineering Front End, Back End, and Full Stack Int...",Tesla,San Jose,"$98,000 - $140,000 a year (Indeed est.)",18.54
37,Software Developer in Test,Adobe,San Jose,"$91,000 - $136,000 a year (Indeed est.)",18.54
41,Software Developer Intern,DropThought,San Jose,"$92,000 - $138,000 a year (Indeed est.)",18.54
43,Intern: Software Engineering,Equinix,San Jose,"$94,000 - $141,000 a year (Indeed est.)",18.54
48,Software Engineer,MyPhoneData,San Jose,"$77,000 - $115,000 a year (Indeed est.)",18.54
50,Software Developer - Photoshop,Adobe,San Jose,"$76,000 - $115,000 a year (Indeed est.)",18.54
52,Full-Time (FT) Order Processing Teammate,Kawahara Nurseries,San Jose,$10.70 - $14.80 an hour (Indeed est.),18.54
60,Software QA Tester,"Stottler Henke Associates, Inc.",San Jose,"$71,000 - $92,000 a year",18.54
64,Enrollment Coordinator I,Santa Clara Family Health Plan,San Jose,$18.93 - $27.44 an hour,18.54
67,Deputy Clerk of the Board,Open Space Authority,San Jose,$33.69 - $40.95 an hour,18.54
68,Administrative Assistant,EcoMicron Inc.,San Jose,"$40,000 - $50,000 a year",18.54
70,Secretary I/II,San Benito County,San Jose,"$3,039 - $4,494 a month",18.54
72,Junior Tester,BGC Group (HK) Limited,San Jose,"$4,000 - $5,100 a month",18.54
74,Accounts Payable Assistant,Foothill-De Anza Community College District,San Jose,"$3,939 a month",18.54
83,Light Rail Signal Maintainer,Santa Clara Valley Transportation Authority,San Jose,"$91,303 - $110,543 a year",18.54
86,Library Assistant II,Palo Alto Unified School District,San Jose,$23.88 - $29.00 an hour,18.54
89,RESIDENT ADVISOR,"Family Supportive Housing, Inc.",San Jose,$15 an hour,18.54
92,End of Life Concierge,Mavis,San Jose,$40 - $60 an hour,18.54
96,Community & Support Administrative Associate,BetterHelp,San Jose,"$60,000 - $65,000 a year",18.54
112,Java + Webservices,Wissda,San Jose,"$145,000 a year",18.54
115,Software Engineer,Blue Sages,San Jose,"$82,000 - $122,000 a year (Indeed est.)",18.54
116,Customer Service Representative - Utility Billing,"City of Sunnyvale, CA",San Jose,"$60,614 - $77,360 a year",18.54
117,Software Engineer (All Levels),SoFi,San Jose,"$115,000 - $172,000 a year (Indeed est.)",18.54
118,"Software Engineer/Object Oriented, Java - Internship - Summe...",Viome,San Jose,"$29,000 - $43,000 a year (Indeed est.)",18.54
119,"Full Stack Developer, Toolbox Software",Tesla,San Jose,"$108,000 - $154,000 a year (Indeed est.)",18.54
120,Software QE Developer,Adobe,San Jose,"$90,000 - $135,000 a year (Indeed est.)",18.54
121,Software Engineer (or Internship exceeding 6 months),Lattice Engines,San Jose,"$103,000 - $155,000 a year (Indeed est.)",18.54
123,Java Backend Developer,Caltech IT Solution,San Jose,$60 - $70 an hour,18.54
124,Software Engineer,Walmart Stores,San Jose,"$93,000 - $139,000 a year (Indeed est.)",18.54
125,Internship - Software Engineer- Full-Stack Engineer,Samsung Research America Internship,San Jose,"$113,000 - $162,000 a year (Indeed est.)",18.54
126,"Software Engineer (Front-End and Back-End), Chronicle",Chronicle,San Jose,"$102,000 - $150,000 a year (Indeed est.)",18.54
128,autonomous vehicle software developer,Job Future,San Jose,"$160,000 - $180,000 a year",18.54
130,"Software Engineer, Junior-Midlevel Backend",BitGo,San Jose,"$115,000 - $172,000 a year (Indeed est.)",18.54
132,Intern: Software Engineering - NLU/NLP,Equinix,San Jose,"$91,000 - $136,000 a year (Indeed est.)",18.54
