,Job_Title,Company,Location,Salary,Cost of Living
9,Entry-Level Full Stack Developer,IBM,"San Jose, CA","$91,000 - $131,000 a year (Indeed est.)",18.54
12,Jr. Software Engineer,Keyo,"Palo Alto, CA","$80,000 - $110,000 a year",18.54
13,Software Engineer,Microsoft,"Sunnyvale, CA","$104,000 - $156,000 a year (Indeed est.)",18.54
14,Entry level Software Engineer,HCL America,"Sunnyvale, CA","$60,000 a year",18.54
15,Software Developer - Fall 2019,PagerDuty,"San Francisco, CA","$102,000 - $153,000 a year (Indeed est.)",18.54
17,Software Developer,"iMINDS Technology Systems, Inc","Sunnyvale, CA","$80,000 - $100,000 a year",18.54
18,Software Engineer,Adobe,"San Jose, CA","$113,000 - $170,000 a year (Indeed est.)",18.54
20,Quality Engineering Software Developer,Adobe,"San Jose, CA","$71,000 - $106,000 a year (Indeed est.)",18.54
21,Software Engineer,Pursuit Software Inc.,"Mountain View, CA",$65 - $85 an hour,18.54
23,Software Engineer Developer,Tano Digital,"San Jose, CA 95112 (Downtown area)","$74,000 - $110,000 a year (Indeed est.)",18.54
24,"Software Engineer, Full Stack",Netflix,"Los Gatos, CA 95032","$114,000 - $163,000 a year (Indeed est.)",18.54
25,Software Developer Summer Intern,Proofpoint,"Sunnyvale, CA 94089","$64,000 - $95,000 a year (Indeed est.)",18.54
26,Software Engineer,Tesla,"Fremont, CA","$91,000 - $137,000 a year (Indeed est.)",18.54
27,Software Engineer,MyPhoneData,"San Jose, CA","$77,000 - $115,000 a year (Indeed est.)",18.54
31,"Software Engineering Front End, Back End, and Full Stack Int...",Tesla,"Palo Alto, CA","$98,000 - $140,000 a year (Indeed est.)",18.54
32,Software Engineer 1 - Entry Level,MyVest,"San Francisco, CA 94105 (Financial District area)","$95,000 - $143,000 a year (Indeed est.)",18.54
33,Software Developer Intern,DropThought,"Santa Clara, CA 95050","$92,000 - $138,000 a year (Indeed est.)",18.54
37,Software Developer,Stanford University,"Stanford, CA","$63,000 - $95,000 a year (Indeed est.)",18.54
38,"Software Engineer, Backend",Tesla,"Fremont, CA","$96,000 - $144,000 a year (Indeed est.)",18.54
40,Software Developer I,Perspecta,"Campbell, CA 95011","$85,000 - $128,000 a year (Indeed est.)",18.54
41,Software Developer - Photoshop,Adobe,"San Jose, CA","$76,000 - $115,000 a year (Indeed est.)",18.54
42,"Intern, Software Engineering - Mobile",Roku,"Los Gatos, CA","$93,000 - $140,000 a year (Indeed est.)",18.54
44,Software Developer in Test,Adobe,"San Jose, CA","$91,000 - $136,000 a year (Indeed est.)",18.54
47,Intern: Software Engineering,Equinix,"Sunnyvale, CA","$98,000 - $146,000 a year (Indeed est.)",18.54
76,Software Developer,Horizon Technologies,"Sunnyvale, CA",$40 - $45 an hour,18.54
81,Software Engineer,Tinfoil Security,"Mountain View, CA 94043","$60,000 - $160,000 a year",18.54
87,Java Backend Developer,Caltech IT Solution,"Mountain View, CA",$60 - $70 an hour,18.54
113,Internship - Software Engineer- Full-Stack Engineer,Samsung Research America Internship,"Mountain View, CA","$113,000 - $162,000 a year (Indeed est.)",18.54
115,"Software Engineer (Front-End and Back-End), Chronicle",Chronicle,"Mountain View, CA","$102,000 - $150,000 a year (Indeed est.)",18.54
116,"Software Engineer/Object Oriented, Java - Internship - Summe...",Viome,"Santa Clara, CA","$29,000 - $43,000 a year (Indeed est.)",18.54
117,Software Engineer (or Internship exceeding 6 months),Lattice Engines,"San Mateo, CA 94404","$103,000 - $155,000 a year (Indeed est.)",18.54
119,Software Engineer,Walmart Stores,"Sunnyvale, CA 94087","$93,000 - $139,000 a year (Indeed est.)",18.54
121,autonomous vehicle software developer,Job Future,"Palo Alto, CA","$160,000 - $180,000 a year",18.54
122,Software QE Developer,Adobe,"San Jose, CA","$90,000 - $135,000 a year (Indeed est.)",18.54
123,Intern: Software Engineering - NLU/NLP,Equinix,"Sunnyvale, CA","$91,000 - $136,000 a year (Indeed est.)",18.54
124,"Software Engineer, Junior-Midlevel Backend",BitGo,"Palo Alto, CA 94306 (Barron Park area)","$115,000 - $172,000 a year (Indeed est.)",18.54
125,"Full Stack Developer, Toolbox Software",Tesla,"Palo Alto, CA","$108,000 - $154,000 a year (Indeed est.)",18.54
127,Backend Engineer - Device Software,Fitbit,"San Francisco, CA 94105 (Financial District area)","$108,000 - $163,000 a year (Indeed est.)",18.54
128,Jr. Backend Software Engineer,Citrine,"Redwood City, CA","$117,000 - $177,000 a year (Indeed est.)",18.54
133,Software Engineer,SurveyMonkey,"San Mateo, CA 94403 (Sugerloaf area)","$102,000 - $154,000 a year (Indeed est.)",18.54
134,Software QA Intern,Synaptics,"San Jose, CA 95131 (North Valley area)","$76,000 - $113,000 a year (Indeed est.)",18.54
139,"Intern, Software Engineering",Coupa,"San Mateo, CA","$98,000 - $147,000 a year (Indeed est.)",18.54
140,"Software Engineer, Recent Graduate",Lumi Labs,"Palo Alto, CA","$92,000 - $139,000 a year (Indeed est.)",18.54
141,Software Engineer,Bay Area Environmental Research Institute,"Mountain View, CA 94035","$130,000 - $150,000 a year",18.54
142,Software Engineer,Twitch,"San Francisco, CA","$96,000 - $144,000 a year (Indeed est.)",18.54
