,Job Title,Company,Location,Salary
10,Junior Software Engineer,"Quality, LLC","Austin, TX 78704 (South Lamar-South Congress area)","$60,000 a year"
15,Software Developer,Custom by Sock Club,"Austin, TX","$55,000 - $95,000 a year"
25,Full Stack Software Engineer,Invoiced,"Austin, TX","$100,000 - $130,000 a year"
31,Payment Software Engineer,Stack Sports,"Austin, TX","$105,000 - $120,000 a year"
36,Software Engineer,"Quality, LLC","Austin, TX 78704 (South Lamar-South Congress area)","$80,000 a year"
46,Software Engineer,Senseye,"Austin, TX","$75,000 - $80,000 a year"
50,Software Engineer,Facility Solutions Group,"Round Rock, TX","$70,000 - $100,000 a year"
75,Backend Engineer (Javascript),Suited,"Austin, TX","$100,000 - $120,000 a year"
84,Software QA Engineer,Mio,"Austin, TX 78751","$75,000 - $100,000 a year"
90,Software Development Engineering Scientist Associate,University of Texas at Austin,"Austin, TX","$69,500 - $80,000 a year"
92,Software Engineer Associate,University of Texas at Austin,"Austin, TX","$75,000 a year"
94,Software Tester,"Smartwebs, Inc.","Round Rock, TX 78664","$45,000 - $55,000 a year"
101,"Senior/ Junior Full Stack PHP Developers, Software Engineers",GivePulse Inc,"Austin, TX 78756 (Rosedale area)","$60,000 - $90,000 a year"
112,"Java Engineer, Microservices",Matthew Noah,"Austin, TX","$100,000 - $115,000 a year"
130,Software Engineering Associate (ESA),University of Texas at Austin,"Austin, TX","$69,500 - $80,000 a year"
135,Temporary Engineering Associate UTEMP,University of Texas at Austin,"Austin, TX",$25 an hour
168,Software Development Engineer In Test,Stoplight,"Austin, TX","$100,000 - $115,000 a year"
202,Senior Software Engineer,Aesir Media Group,"Austin, TX","$70,000 - $100,000 a year"
217,Customer Support Engineer,Alpha Nodus,"Austin, TX 78759 (Arboretum area)","$40,000 - $50,000 a year"
226,Senior Software Engineer - Scala,LKQD,"Austin, TX 78704 (South Lamar-South Congress area)","$150,000 a year"
228,Backend Engineer,Meshify,"Austin, TX 78752","$80,000 - $130,000 a year"
240,Sr. Engineer | Zebu Emulation,Wipro Limited,"Austin, TX","$110,000 - $120,000 a year"
279,Programmer/Developer -- Tableau report developer,Trioptus,"Austin, TX",$60 - $65 an hour
302,SaaS Implementation Engineer,Cloudsnap,"Austin, TX","$60,000 - $80,000 a year"
344,DPS - IT - Jr Systems Engineer,TEXAS DEPARTMENT OF PUBLIC SAFETY,"Austin, TX","$4,917 a month"
348,Software Developer/Analyst,University of Texas at Austin,"Austin, TX","$62,000 - $65,000 a year"
355,Customer Support Analyst,Travis County,"Austin, TX 78701 (Downtown area)","$48,531 - $52,894 a year"
365,Robotics and Automation Software Developer,ARM Automation,"Austin, TX 78759 (Arboretum area)","$75,000 - $115,000 a year"
366,Geospatial Software Developer,University of Texas at Austin,"Austin, TX","$69,500 - $80,000 a year"
367,R&D Software Developer,University of Texas at Austin,"Austin, TX","$69,500 - $80,000 a year"
372,Staff Software Engineer,The Home Depot,"Austin, TX 73301 (St Edwards area)","$71,000 - $107,000 a year (Indeed est.)"
373,IBM Cloud Private software engineer,IBM,"Austin, TX 73344","$94,000 - $132,000 a year (Indeed est.)"
374,Software Engineer,Koddi,"Austin, TX","$85,000 - $128,000 a year (Indeed est.)"
375,Software Developer,Chisholm Financial Labs,"Austin, TX 78733","$83,000 - $124,000 a year (Indeed est.)"
378,Junior DevOps Software Austin,FDM Group,"Austin, TX","$84,000 - $116,000 a year (Indeed est.)"
380,Software Engineer,Applied Information Sciences,"Austin, TX 78731","$71,000 - $106,000 a year (Indeed est.)"
381,Software Engineer,SpyCloud,"Austin, TX","$70,000 - $105,000 a year (Indeed est.)"
382,Sr. Software Performance Engineer (REF17118V) - Visa Digital...,Visa,"Austin, TX","$98,000 - $131,000 a year (Indeed est.)"
383,DDS Senior Software Engineer,Whole Foods Market,"Austin, TX 78703","$97,000 - $130,000 a year (Indeed est.)"
384,Software Engineer,Metropia,"Austin, TX 78731","$71,000 - $106,000 a year (Indeed est.)"
385,Software Engineer (Higher Ed),PowerSchool,"Austin, TX 78746","$87,000 - $130,000 a year (Indeed est.)"
387,Software Engineer,Magna Solve,"Austin, TX","$79,000 - $118,000 a year (Indeed est.)"
388,SOFTWARE ENGINEER,Maidbot,"Austin, TX","$80,000 - $119,000 a year (Indeed est.)"
392,Full-Stack Software Developer,Banyan Water,"Austin, TX","$75,000 - $107,000 a year (Indeed est.)"
396,Full-Stack Developer,Cisco Careers,"Austin, TX","$89,000 - $127,000 a year (Indeed est.)"
398,Software Design Engineer,Sensuron LLC,"Austin, TX","$72,000 - $107,000 a year (Indeed est.)"
399,Software Engineer,SparkCognition,"Austin, TX 78759 (Arboretum area)","$79,000 - $118,000 a year (Indeed est.)"
400,Software Engineer,"Canon Nanotechnologies, Inc.","Austin, TX 78758 (North Austin area)","$70,000 - $105,000 a year (Indeed est.)"
401,Senior Software Engineer,ClearCorrect,"Round Rock, TX 78665","$107,000 - $144,000 a year (Indeed est.)"
402,Software Angular Developer,ClearCorrect,"Round Rock, TX 78665","$85,000 - $128,000 a year (Indeed est.)"
404,Mid-level Backend Software Engineer,Permission.io,"Austin, TX 78729","$81,000 - $123,000 a year (Indeed est.)"
406,JAVA Developer,"Consulting Firms (like CTS, TCS, IBM)","Austin, TX","$80,000 - $140,000 a year"
407,Software Engineer (Development),"JAMY INTERACTIVE, INC","Austin, TX","$96,000 - $144,000 a year (Indeed est.)"
409,Software Engineer,Trident Research,"Austin, TX 78758 (North Austin area)","$78,000 - $116,000 a year (Indeed est.)"
410,Software Engineer,Novo Dia Group,"Austin, TX 78750","$82,000 - $123,000 a year (Indeed est.)"
412,Full Stack Developer (Immediate Opening),IDEA Public Schools,"Austin, TX 78747","$60,000 - $86,000 a year (Indeed est.)"
413,Software Developer,Trend Micro,"Austin, TX 78758 (North Austin area)","$81,000 - $121,000 a year (Indeed est.)"
414,Software Developer,Taproot Solutions,"Austin, TX","$84,000 - $126,000 a year (Indeed est.)"
434,System Test Engineering Associate,University of Texas at Austin,"Austin, TX","$69,500 - $80,000 a year"
437,Senior Software Engineer,University of Texas at Austin,"Austin, TX","$80,400 a year"
455,Lead Software Engineer,Facility Solutions Group,"Round Rock, TX","$120,000 - $140,000 a year"
489,Full Stack Java/JavaScript Developer,XTIVIA,"Austin, TX","$75,000 - $90,000 a year"
500,Java front end / Web Developer/Programmer,Trioptus,"Austin, TX",$60 - $65 an hour
509,Patent Agent/Technical Specialist Computer Science,Top Tier Legal,"Austin, TX","$125,000 - $180,000 a year"
534,IoT Solutions Engineer,"ClearBlade, Inc","Austin, TX 78701 (Downtown area)","$75,000 - $150,000 a year"
535,R&D User Interface Software Developer,University of Texas at Austin,"Austin, TX","$82,000 - $129,996 a year"
543,"Enterprise Java Engineer (J2EE, Microsoft)",Jackrabbit Mobile,"Austin, TX 78701 (Downtown area)",$50 - $75 an hour
555,Senior Software Engineer - ThinCloud,Yonomi,"Austin, TX 78701 (Downtown area)","$110,000 - $130,000 a year"
561,Programmer II,TEXAS COMMISSION ON LAW ENFORCEMENT,"Austin, TX","$3,520 a week"
611,Product Management Intern,"Cylance, Inc.","Austin, TX 78758 (North Austin area)",$15 an hour
612,Software Development Engineering Scientist,University of Texas at Austin,"Austin, TX","$82,000 - $129,996 a year"
647,Summer Internship Systems Support Specialist I,Health & Human Services Comm,"Austin, TX 78701 (Downtown area)","$2,453 a month"
648,Sr.Software QA Analyst,Health & Human Services Comm,"Austin, TX 78701 (Downtown area)","$4,917 - $8,060 a month"
649,Quality Assurance & Testing Student Intern,Teacher Retirement System of Texas,"Austin, TX","$2,340 - $2,947 a month"
651,Microstation Drafter,EN Engineering,"Austin, TX 78759 (Arboretum area)",$15 - $19 an hour
674,Social Service Program Entry Specialist,"Aunt Bertha, a Public Benefit Corp.","Austin, TX 78731",$15 an hour
707,System Administrator,Victory,"Austin, TX","$60,000 - $75,000 a year"
719,Enterprise Architect-IMD,Texas Department of Transportation,"Austin, TX 78731","$69,415 - $117,397 a year"
