,Job Title,Company,Location,Salary
6,Entry Level Software Developer,AMGTech Solutions,"Chicago, IL","$60,000 - $70,000 a year"
9,Entry Level Software Developer,BACloudSystems,"Chicago, IL","$70,000 - $80,000 a year"
10,Software Engineer-Junior,"Agility Network Services, Inc.","Chicago, IL","$68,000 a year"
11,Software Engineer,Restaurant.com,"Arlington Heights, IL 60004","$76,000 - $114,000 a year (Indeed est.)"
12,Full-Stack Software Engineer Intern,LF Inc.,"Chicago, IL","$84,000 - $120,000 a year (Indeed est.)"
13,C# Software Engineer,Jettison,"Chicago, IL","$100,000 - $150,000 a year"
15,Intern - Software Engineer,Cloudbot,"Chicago, IL","$80,000 - $120,000 a year (Indeed est.)"
16,"Software Engineer, Backend (Multiple levels)",The Climate Corporation,"Chicago, IL","$98,000 - $147,000 a year (Indeed est.)"
17,Software Engineer I,CDK Global,"Hoffman Estates, IL 60169","$74,000 - $111,000 a year (Indeed est.)"
19,Software Engineer Apprentice,Conversant Media,"Chicago, IL","$82,000 - $123,000 a year (Indeed est.)"
20,Software Engineer - OBIEE,Tribus Point,"Barrington, IL 60010","$79,000 - $118,000 a year (Indeed est.)"
21,Software Engineer,Warner Bros Careers,"Chicago, IL","$84,000 - $127,000 a year (Indeed est.)"
23,"Engineer, Software in Test",Conversant Media,"Chicago, IL","$60,000 - $89,000 a year (Indeed est.)"
25,"Software Engineer, C# - Prepare",DocuSign,"Chicago, IL","$75,000 - $113,000 a year (Indeed est.)"
26,Junior Tester,BGC Group (HK) Limited,"Chicago, IL","$4,000 - $5,100 a month"
27,Software Engineer,"Groove Health, Inc.","Chicago, IL","$60,000 - $90,000 a year"
28,Software Engineer Apprentice,AllianceData,"Chicago, IL","$82,000 - $123,000 a year (Indeed est.)"
32,Software Engineer,Discover Financial Services,"Chicago, IL","$80,000 - $120,000 a year (Indeed est.)"
34,Software Engineer,Backstop Solutions Group LLC,"Chicago, IL 60606 (Loop area)","$81,000 - $122,000 a year (Indeed est.)"
35,"Engineer, Software in Test",Epsilon,"Chicago, IL","$56,000 - $82,000 a year (Indeed est.)"
37,Junior / Entry Level Mobile Apps Developer - IOS / Android E...,Adidev Technologies,"Chicago, IL","$55,000 - $85,000 a year"
39,Backend Developer/Software Engineer,All Campus,"Chicago, IL 60606 (Loop area)","$89,000 - $134,000 a year (Indeed est.)"
41,"Engineer, Software in Test",AllianceData,"Chicago, IL","$60,000 - $89,000 a year (Indeed est.)"
42,Software Engineer I,Truckstop.com Careers,"Chicago, IL","$90,000 - $135,000 a year (Indeed est.)"
43,Full Stack Software Engineer,Allstate,"Chicago, IL 60290 (Loop area)","$88,000 - $126,000 a year (Indeed est.)"
44,"Software Engineer, Act",DocuSign,"Chicago, IL","$84,000 - $126,000 a year (Indeed est.)"
45,Software Engineer,"Agility Network Services, Inc.","Chicago, IL","$82,000 a year"
46,Java/J2EE Software Engineer,JP Morgan Chase,"Chicago, IL 60603 (Loop area)","$88,000 - $127,000 a year (Indeed est.)"
47,Software Engineer,Cappex,"Chicago, IL 60606 (Loop area)","$71,000 - $107,000 a year (Indeed est.)"
48,Software Engineer,JP Morgan Chase,"Chicago, IL 60603 (Loop area)","$96,000 - $144,000 a year (Indeed est.)"
49,Software C++ Engineer,"Agility Network Services, Inc.","Chicago, IL","$82,000 a year"
77,Software Developer,"LandAirSea Systems, Inc.","Chicago, IL 60661 (Near West Side area)","$60,000 - $90,000 a year"
116,QA Engineer,NowPow,"Chicago, IL 60615 (Hyde Park area)","$50,000 - $65,000 a year"
121,Senior Software Engineer,PatientIQ,"Chicago, IL","$95,000 - $130,000 a year"
124,Mainframe Systems Administrator Engineer,"Optimum Software Solutions, Inc.","Chicago, IL","$105,000 a year"
133,Jr Java Developer ( Kotlin),Bank of America,"Chicago, IL","$80,000 - $90,000 a year"
154,Junior Business Analyst,Trusymmetry Inc,"Chicago, IL","$50,000 - $60,000 a year"
187,Software Developer,Euroview,"Elmhurst, IL 60126","$50,000 a year"
195,Junior Web Developer,"Visual Solutions, Inc.","Gurnee, IL",$20 an hour
229,UI Engineer,The Plum Tree Group,"Chicago, IL 60654 (Loop area)","$90,000 - $120,000 a year"
242,Network Engineer,Metra Railroad,"Chicago, IL","$77,772 - $116,659 a year"
270,C++ Programmer,Jettison,"Chicago, IL","$100,000 - $150,000 a year"
291,Principal Software Engineer,Orthogonal,"Chicago, IL","$120,000 - $155,000 a year"
324,"Software Engineer, ECC (Higher Education) - Chicago, IL",Huron Consulting Group Inc.,"Chicago, IL 60607 (Near West Side area)","$75,000 - $113,000 a year (Indeed est.)"
326,Software Engineer,Nidec Motor Corporation,"Elgin, IL 60123","$76,000 - $115,000 a year (Indeed est.)"
327,.Net Engineer,Comcast,"Chicago, IL 60603 (Loop area)","$88,000 - $123,000 a year (Indeed est.)"
331,Software Engineer,Peerless Network,"Chicago, IL","$83,000 - $124,000 a year (Indeed est.)"
333,Java Software Engineer,JP Morgan Chase,"Chicago, IL 60603 (Loop area)","$91,000 - $132,000 a year (Indeed est.)"
334,Senior Software Engineer,Enterprise Peak,"Chicago, IL","$118,000 - $159,000 a year (Indeed est.)"
335,Sr Software Engineer,General Electric,"Chicago, IL 60601 (Loop area)","$107,000 - $143,000 a year (Indeed est.)"
336,Software Java Engineer,Forte Group,"Chicago, IL 60606 (Loop area)","$87,000 - $125,000 a year (Indeed est.)"
337,Data Scientist,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL","$93,000 - $137,000 a year (Indeed est.)"
338,Life Fitness - Junior Software Quality Engineer,Brunswick Corporation,"Franklin Park, IL","$68,000 - $101,000 a year (Indeed est.)"
339,Software Developer,Champro Sports,"Wheeling, IL 60090","$81,000 - $121,000 a year (Indeed est.)"
340,"Software Engineer, Storage",DocuSign,"Chicago, IL","$94,000 - $140,000 a year (Indeed est.)"
341,Backend Software Engineer,eSpark Learning,"Chicago, IL","$81,000 - $123,000 a year (Indeed est.)"
342,Software Engineer,NMI,"Roselle, IL","$64,000 - $96,000 a year (Indeed est.)"
343,"Associate Software Engineer, Parts Team",CCC Information Services Inc.,"Chicago, IL 60654 (Loop area)","$72,000 - $108,000 a year (Indeed est.)"
344,Software Development Engineer,4C Insights,"Chicago, IL","$92,000 - $138,000 a year (Indeed est.)"
345,Data Scientist,Chicago Transit Authority,"Chicago, IL","$95,000 - $105,000 a year"
346,Web Application Analyst & Developer,Jettison,"Schaumburg, IL","$85,000 - $90,000 a year"
347,Systems Engineer I,Mitutoyo America Corporation,"Aurora, IL 60502","$61,000 - $94,000 a year (Indeed est.)"
348,Software Developer,Honeywell,"Des Plaines, IL 60017","$64,000 - $97,000 a year (Indeed est.)"
349,Client Side Software Engineer,Kongregate,"Chicago, IL","$65,000 - $98,000 a year (Indeed est.)"
350,Software Engineer,Instructure,"Chicago, IL 60601 (Loop area)","$85,000 - $127,000 a year (Indeed est.)"
351,"SR. SOFTWARE ENGINEER, IOS",Foot Locker,"Chicago, IL","$105,000 - $140,000 a year (Indeed est.)"
