,Job Title,Company,Location,Salary
7,Entry Level Software Developer,Digi555,"New York, NY","$65,000 - $75,000 a year"
9,"Software Engineer, Engineering Productivity",Google,"New York, NY 10011 (Chelsea area)","$106,000 - $159,000 a year (Indeed est.)"
10,Software Engineer,IBM,"Armonk, NY 10504","$75,130 - $130,000 a year"
11,"Software Engineer, Frontend",Remesh,"New York, NY","$101,000 - $151,000 a year (Indeed est.)"
12,Software Engineer,Jobs Lab Inc,"New York, NY","$70,000 - $120,000 a year"
13,Entry Level Software Engineer,Digi555,"Jersey City, NJ","$70,000 - $80,000 a year"
14,Software Engineer,Qualia Investments,"New York, NY","$75,000 - $85,000 a year"
15,Entry- Level Developer/Software Test Engineer,RTTS,"New York, NY 10018 (Clinton area)","$60,000 - $70,000 a year"
16,Software Engineer,EZOPS Inc,"New York, NY","$60,000 - $100,000 a year"
18,Front or Back End Software Engineer,Teqqi LLC,"New York, NY","$145,000 - $165,000 a year"
19,Frontend Software Engineer,BuzzFeed,"New York, NY 10013 (Tribeca area)","$116,000 - $171,000 a year (Indeed est.)"
21,Software Engineer,CommonBond,"New York, NY","$98,000 - $147,000 a year (Indeed est.)"
22,Software Engineer,Healthcare Technology Platform,"Brooklyn, NY","$115,000 - $200,000 a year"
24,Junior Tester,BGC Group (HK) Limited,"New York, NY","$4,000 - $5,100 a month"
25,Software Developer,NASDAQ,"New York, NY 10036","$90,000 - $100,000 a year"
26,"Associate Software Engineer, Care Platforms Team",The New York Times,"New York, NY 10036","$80,000 - $120,000 a year (Indeed est.)"
27,Software Engineer,Blue Apron,"New York, NY 10013 (Tribeca area)","$97,000 - $145,000 a year (Indeed est.)"
28,Software Engineer,Paintzen,"New York, NY","$111,000 - $166,000 a year (Indeed est.)"
29,"Associate Software Engineer, Xplore",Viacom,"New York, NY 10036","$102,000 - $153,000 a year (Indeed est.)"
30,Software Engineer,Hopper,"New York, NY","$96,000 - $145,000 a year (Indeed est.)"
31,Software Engineer,Sapphire Digital,"New York, NY","$93,000 - $140,000 a year (Indeed est.)"
32,PHP Software Engineer,BlindData,"New York, NY","$100,000 - $200,000 a year"
33,Software Engineer - Java,JP Morgan Chase,"Brooklyn, NY 11245 (Downtown area)","$99,000 - $149,000 a year (Indeed est.)"
34,Software Engineer,Pillar,"New York, NY 10027 (Hamilton Heights area)","$110,000 - $165,000 a year (Indeed est.)"
35,"Software Engineer I, Search",Dataminr,"New York, NY","$119,000 - $179,000 a year (Indeed est.)"
36,Software Engineer,Vericred,"New York, NY 10010 (Gramercy area)","$105,000 - $158,000 a year (Indeed est.)"
37,Software Engineer,Apollo 350,"New York, NY","$85,000 - $200,000 a year"
38,Software Engineer,Sony Music Entertainment,"New York, NY 10010 (Gramercy area)","$96,000 - $143,000 a year (Indeed est.)"
39,Software Engineer,IBKR,"New York, NY","$110,000 - $165,000 a year (Indeed est.)"
40,Monetization Backend Software Engineer,Oath Inc,"New York, NY 10024 (Upper West Side area)","$93,000 - $140,000 a year (Indeed est.)"
41,Backend Software Engineer,The New York Times,"New York, NY 10036","$94,000 - $142,000 a year (Indeed est.)"
42,Front End Software Engineer,Google,"New York, NY 10011 (Chelsea area)","$95,000 - $140,000 a year (Indeed est.)"
43,Software Development Engineer,Zillow Group,"New York, NY 10002 (Lower East Side area)","$104,000 - $156,000 a year (Indeed est.)"
44,Software Engineer,RedRoute,"Brooklyn, NY 11201","$75,000 - $150,000 a year"
45,Software Engineer,Warby Parker,"New York, NY 10003 (Greenwich Village area)","$100,000 - $150,000 a year (Indeed est.)"
46,Software Engineer,Gro Intelligence,"New York, NY 10001 (Chelsea area)","$115,000 - $172,000 a year (Indeed est.)"
47,Software Engineer - Developer Tooling,Affirm,"New York, NY","$114,000 - $170,000 a year (Indeed est.)"
50,"Software Engineer/Front End Developer - New York, NY",CRH,"New York, NY 10019 (Midtown area)","$91,000 - $134,000 a year (Indeed est.)"
59,ENTRY LEVEL MS.NET PROGRAMMER,IT People NY,"New York, NY","$27,000 - $45,000 a year"
80,Software Engineer - Must have C# experience - 60-90k,Quadlogic Controls,"New York, NY 10018 (Clinton area)","$60,000 - $90,000 a year"
90,Software Developer,Engage Transform,"New York, NY","$125,000 - $175,000 a year"
100,Software Engineer,ION Computer Systems,"New York, NY 10022 (Midtown area)","$150,000 - $170,000 a year"
113,Junior Web Application Developer,New York City DEPT OF DESIGN & CONSTRUCTION,"New York, NY","$64,657 - $89,634 a year"
129,Computer Associate (Software),New York City DEPARTMENT OF PROBATION,"Manhattan, NY","$64,657 - $80,000 a year"
139,"Software Developer, Applications",Pod1,"New York, NY 10001 (Chelsea area)","$96,366 a year"
143,Software Developer,"Agility Network Services, Inc.","New York, NY","$84,000 a year"
146,Technical Consulting Engineer (Entry Level),Pepperi,"New York, NY","$55,000 - $60,000 a year"
180,Tech Researcher,Blue Heron Research Partners,"New York, NY 10017 (Midtown area)","$50,000 - $60,000 a year"
198,JR Citrix Engineer,Derive Technologies,"New York, NY 10005 (Financial District area)","$55,000 - $65,000 a year"
206,Entry Level software developer jobs on Hadoop Developer/Admi...,DataQuest corp,"New York, NY","$60,000 - $80,000 a year"
222,Software Engineer,Pod1,"New York, NY 10013 (Tribeca area)","$92,768 a year"
233,Software Engineer,CloudInfoSol,"Princeton Junction, NJ 08550","$60,000 - $90,000 a year"
277,Scheduling Engineer,Management Concepts Systems and Services,"New York, NY","$80,000 - $145,000 a year"
284,Software Engineer Front-End (Web),PhotoShelter,"Manhattan, NY","$100,000 - $150,000 a year"
348,Staff Data Engineer,Namely,"New York, NY 10005 (Financial District area)","$180,000 - $200,000 a year"
357,CTO,Sapien,"New York, NY","$120,000 - $200,000 a year"
375,COMPUTER ASSOC (SOFTWARE),New York City NYC EMPLOYEES RETIREMENT SYS,"Brooklyn, NY 11201","$69,618 - $96,898 a year"
383,Full Stack Engineer,Loan Ecosystem Online,"New York, NY","$100,000 - $125,000 a year"
387,Sr. Software Engineer (C++),Serene Consulting LLC,"New York, NY","$150,000 - $180,000 a year"
399,Front End Developer,Caltech IT Solution,"New York, NY",$50 - $60 an hour
