,Job Title,Company,Location,Salary
8,Entry Level Software Engineer,SR Education Group,"Kirkland, WA","$80,000 - $100,000 a year"
12,Entry Level Software Engineer,HCL Americas,"Redmond, WA 98052","$60,000 a year"
15,Entry Level Software Engineer,HCL America,"Redmond, WA 98052","$60,000 a year"
24,Software Developer - All Levels,Liberty Mutual Insurance,"Seattle, WA 98101 (Downtown area)","$117,400 - $152,000 a year"
116,Software Engineer,Getty Images,"Seattle, WA 98103 (Green Lake - Wallingford area)","$138,780 a year"
133,Jr Network Engineer (Entry level),Gravity Technologies inc,"Redmond, WA","$40,000 - $45,000 a year"
138,Front End Software Engineer,Sasquatch Talent,"Bellevue, WA","$110,000 - $150,000 a year"
141,Jr. Data Engineer,D4DT,"Bellevue, WA","$75,000 - $100,000 a year"
145,Software Development Engineer in Test (SDET) (IT Pro B-BU),City of Seattle,"Seattle, WA",$39.80 - $59.72 an hour
183,Java Backend Developer,Trioptus,"Bellevue, WA",$50 - $60 an hour
205,Software Developer,The Northlake Partners,"Redmond, WA","$75,000 - $90,000 a year"
227,PL/SQL Software Developer,Akytech Consulting LLC,"Seattle, WA","$70,000 - $85,000 a year"
235,Full Stack Developer,Pike13,"Seattle, WA","$125,000 - $130,000 a year"
318,Test Software Engineer,Facebook,"Redmond, WA","$83,000 - $123,000 a year (Indeed est.)"
325,C# Software Developer,Posera USA Inc,"Seattle, WA","$81,000 - $113,000 a year (Indeed est.)"
326,Software Engineer - Conversational Svcs,"Discovery Communications, LLC","Bellevue, WA","$95,000 - $143,000 a year (Indeed est.)"
327,"Software Engineer - Lynnwood, Washington - KUTI",Hydroid,"Lynnwood, WA","$47,000 - $71,000 a year (Indeed est.)"
328,Software Engineer - Animation,Biblioso,"Redmond, WA","$70,000 - $105,000 a year (Indeed est.)"
329,Software Engineer,Bazean,"Seattle, WA","$87,000 - $131,000 a year (Indeed est.)"
330,"Software Engineer, Data Engineering","ExtraHop Networks, Inc.","Seattle, WA 98101 (Downtown area)","$113,000 - $169,000 a year (Indeed est.)"
331,Software Engineer- Full Stack,General Electric,"Redmond, WA 98053","$72,000 - $104,000 a year (Indeed est.)"
333,Software Engineer in Test Intern,Limeade,"Bellevue, WA 98004 (Downtown area)","$79,000 - $117,000 a year (Indeed est.)"
337,"Software Tester, Product Data Management Specialist",BOEING,"Renton, WA","$75,000 - $111,000 a year (Indeed est.)"
338,Software Design Engineer II,Microsoft,"Redmond, WA","$94,000 - $126,000 a year (Indeed est.)"
339,Software Engineer,Code.org,"Seattle, WA 98101 (Downtown area)","$85,000 - $128,000 a year (Indeed est.)"
341,Software Engineer 2,Chatitive,"Seattle, WA","$105,000 - $141,000 a year (Indeed est.)"
342,Software Engineer,Palantir Technologies,"Seattle, WA","$100,000 - $150,000 a year (Indeed est.)"
343,Software Development Engineer,"ArcLight Wireless, Inc.","Seattle, WA","$81,000 - $121,000 a year (Indeed est.)"
344,Software Engineer,Donuts Inc,"Kirkland, WA 98033 (Highlands area)","$85,000 - $127,000 a year (Indeed est.)"
345,Software Development Engineer (Front-End),Tune,"Seattle, WA","$101,000 - $148,000 a year (Indeed est.)"
346,Software & Data Engineer,Beyondsoft Consulting,"Redmond, WA","$78,000 - $117,000 a year (Indeed est.)"
347,C#.NET Software Engineer,INIT Innovations in Transportation Inc,"Seattle, WA 98104","$84,000 - $118,000 a year (Indeed est.)"
348,Software Engineer,Institute for Health Metrics and Evaluation - Facu...,"Seattle, WA","$76,000 - $114,000 a year (Indeed est.)"
349,Software Engineer - Bellevue,Trustwork,"Seattle, WA","$103,000 - $155,000 a year (Indeed est.)"
351,Software Engineer 3 - 6432,Comcast,"Seattle, WA 98104","$91,000 - $137,000 a year (Indeed est.)"
352,Front End Engineer- Analytics,Zume Inc.,"Seattle, WA","$94,000 - $139,000 a year (Indeed est.)"
353,Software Development Engineer - Promoted Products - Android,OfferUp,"Bellevue, WA","$96,000 - $144,000 a year (Indeed est.)"
354,Software Engineer III – Modular DNS Team,f5,"Seattle, WA","$102,000 - $138,000 a year (Indeed est.)"
356,Software Engineer,SystImmune,"Redmond, WA","$71,000 - $106,000 a year (Indeed est.)"
357,Full Stack Engineer - Application Team,Textio,"Seattle, WA 98104","$101,000 - $145,000 a year (Indeed est.)"
358,Front-End Engineer I,Subsplash,"Seattle, WA","$80,000 - $118,000 a year (Indeed est.)"
359,Junior Programmer – Microsoft Dynamics Nav Support,Steiner,"Seattle, WA","$45,000 - $55,000 a year"
360,Back End Developer,Rad Power Bikes,"Seattle, WA 98107 (Ballard area)","$97,000 - $147,000 a year (Indeed est.)"
361,Data Analyst I - Brain Science,Allen Institute,"Seattle, WA 98109 (Westlake area)","$74,000 - $110,000 a year (Indeed est.)"
363,Software Engineer - Compression,Facebook,"Redmond, WA","$86,000 - $129,000 a year (Indeed est.)"
364,Software Engineer,Karat,"Seattle, WA","$89,000 - $133,000 a year (Indeed est.)"
365,Software Engineer UI,Dropbox,"Seattle, WA","$90,000 - $135,000 a year (Indeed est.)"
366,Front End Software Engineer,Google,"Seattle, WA","$82,000 - $120,000 a year (Indeed est.)"
412,IAM consultants (Entry Level) (Computer Science degree),Gravity Technologies inc,"Redmond, WA","$40,000 - $45,000 a year"
487,Sr. Network Software Engineer,"JAMY INTERACTIVE, INC","Seattle, WA","$124,000 - $186,000 a year"
495,Software Developer Java,JAMY INTERACTIVE INC,"Seattle, WA","$80,000 - $110,000 a year"
507,Software Development Manager,Bill4Time.com,"Bellevue, WA 98007 (Lake Hills area)","$120,000 - $150,000 a year"
568,Software Design Engineer 4-Lead,C2S Technologies,"Redmond, WA",$70 - $80 an hour
583,Software Engineer - Backend,Upbound,"Seattle, WA","$94,000 - $141,000 a year (Indeed est.)"
584,"Software Engineer (Backend) - Airports, Events & Venues (Sea...",Uber,"Seattle, WA 98101 (Downtown area)","$101,000 - $151,000 a year (Indeed est.)"
590,Software Engineer,"Striim, Inc.","Bellevue, WA","$99,000 - $149,000 a year (Indeed est.)"
594,"Fullstack Software Engineer (Madison, WI)",LeMans Corporation,"Seattle, WA","$93,000 - $133,000 a year (Indeed est.)"
595,Senior Software Engineer I,Vizio Inc.,"Seattle, WA 98109 (Westlake area)","$107,000 - $144,000 a year (Indeed est.)"
596,Software Engineer,Clean Power Research,"Seattle, WA","$98,000 - $146,000 a year (Indeed est.)"
599,Backend Software Development Engineer – Computational Market...,Groupon,"Seattle, WA 98101 (Downtown area)","$97,000 - $147,000 a year (Indeed est.)"
601,Software Engineer II- IoT,Microsoft,"Redmond, WA","$96,000 - $129,000 a year (Indeed est.)"
602,Senior Software Developer,Microsoft,"Redmond, WA","$94,000 - $127,000 a year (Indeed est.)"
603,033: Python/Flask UI Developer,Dataspace,"Seattle, WA",$65 - $70 an hour
608,Front end Software Engineer,Promethean,"Seattle, WA","$88,000 - $130,000 a year (Indeed est.)"
611,"Software Engineer, Software Networking (Edge Team)",Uber,"Seattle, WA 98101 (Downtown area)","$124,000 - $186,000 a year (Indeed est.)"
612,Software Development Engineer (Test Strategy & Automation),Axiom,"Bellevue, WA","$96,000 - $142,000 a year (Indeed est.)"
613,UI Developer/Angular.JS Developer,SaaSpack,"Seattle, WA","$80,000 - $100,000 a year"
614,Software Engineer,WeWork,"Seattle, WA","$93,000 - $139,000 a year (Indeed est.)"
616,Java Developer - AWS,"JAMY INTERACTIVE, INC","Seattle, WA","$100,000 - $120,000 a year"
617,Software Developer (RPG) - Depot Solutions #2842~,Costco Wholesale,"Issaquah, WA 98027","$88,000 - $133,000 a year (Indeed est.)"
618,Developer (Front-End) - Cargo Signal™,Expeditors,"Seattle, WA 98104","$79,000 - $116,000 a year (Indeed est.)"
621,Java Springboot Developer,Mentour Corporation,"Bellevue, WA","$86,000 - $125,000 a year (Indeed est.)"
623,FRL Software Engineer - Haptics/Engine Programmer,Facebook,"Redmond, WA","$83,000 - $125,000 a year (Indeed est.)"
624,Software Developer/.Net,Vodastra,"Mountlake Terrace, WA","$67,000 - $101,000 a year (Indeed est.)"
626,"Engineer, Software",SoFi,"Seattle, WA","$96,000 - $144,000 a year (Indeed est.)"
668,IT Services Engineer (ITS 5),Washington's Lottery,"Olympia, WA","$5,574 - $7,316 a month"
689,FRL Tracking Software Engineer,Facebook,"Redmond, WA","$85,000 - $127,000 a year (Indeed est.)"
690,Software Engineer in Test,NetMotion Software,"Seattle, WA","$80,000 - $118,000 a year (Indeed est.)"
691,Front End Web Developer,"Element Data, Inc.","Bellevue, WA 98004 (Downtown area)","$86,000 - $126,000 a year (Indeed est.)"
693,Software Engineer II - JavaScript,Microsoft,"Redmond, WA","$98,000 - $132,000 a year (Indeed est.)"
700,"Software Engineer, Dashboard Applications",Tableau,"Seattle, WA 98107 (Ballard area)","$94,000 - $142,000 a year (Indeed est.)"
702,Associate Security Engineer Intern,REI,"Kent, WA 98032","$77,000 - $113,000 a year (Indeed est.)"
