,Job_Title,Company,Location,Salary
0,Software QA Tester,"Stottler Henke Associates, Inc.","San Mateo, CA",81500.0
1,Software Implementation Consultant,CIO Options,"San Francisco, CA 94102 (Downtown area)",132500.0
2,Entry level Software Engineer,HCL America,"Sunnyvale, CA",60000.0
4,Software Engineer,Ebots,"Fremont, CA",113000.0
7,Light Rail Signal Maintainer,Santa Clara Valley Transportation Authority,"San Jose, CA 95134 (North San Jose area)",100923.0
8,Application Specialist,"Anatomage, Inc.","San Jose, CA 95110 (Downtown area)",70000.0
10,Jr. Software Engineer,Keyo,"Palo Alto, CA",95000.0
11,Game Engine Developer,"RightHook, Inc.","San Jose, CA 95112 (Downtown area)",135000.0
16,Robotics Software Engineer,Creator,"San Francisco, CA 94107 (South Of Market area)",130000.0
17,Software Engineer,Bay Area Environmental Research Institute,"Mountain View, CA 94035",140000.0
25,Game Engine Software Engineer (Unreal Developer),The Computer Science Proficiency Assessment,"Burlingame, CA",145000.0
30,Jr Software Engineer,"Agility Network Services, Inc.","San Francisco, CA",53000.0
33,Software QA Engineer,Verdure Technology Corp,"Santa Clara, CA",95000.0
35,Management Analyst,County of Santa Clara,"Santa Clara, CA",99223.0
36,Election Division Coordinator,County of Santa Clara,"San Jose, CA 95110 (Downtown area)",107291.5
39,Receptionist/Administrative Assistant,CJ Advisory,"San Jose, CA",52500.0
40,Senior Software QA Engineer,LeanTaaS,"Santa Clara, CA 95050",140000.0
42,Assistant/Associate Planner (Housing),City of Mountain View,"Mountain View, CA 94041",98307.0
44,Software Engineer,EZOPS Inc,"San Francisco Bay Area, CA",80000.0
45,Software Engineer,Compology,"San Francisco, CA 94103 (South Of Market area)",160000.0
46,Programmer Analyst,Charvi Information Technologies,"Fremont, CA",55162.0
48,Software Engineer,TekIntegra,"Fremont, CA",72800.0
50,Librarian,"County of Contra Costa, California","Contra Costa County, CA",63123.5
54,Java Software Architect,Nile Global Inc.,"Santa Clara, CA 95054",175000.0
60,Chaplain,US Department of Justice,"Dublin, CA",104090.5
61,"Software On-boarding Specialist in CA, NV, OR, WA",Moraware,"San Francisco Bay Area, CA",50000.0
62,Senior Software Engineer,The Lawner Group,"Mountain View, CA",170000.0
63,Software Engineer,Carnegie Technologies,"San Francisco, CA",145000.0
66,Sr. Full Stack Developer,Freedom Financial Network,"San Mateo, CA 94402 (Beresford area)",135000.0
67,Intern: Software Engineering/UI,Equinix,"Sunnyvale, CA",111500.0
